"OECD (2015), Unemployment rate (indicator). doi: 10.1787/997c8750-en (Accessed on 01 June 2015)"
https://data.oecd.org/unemp/unemployment-rate.htm
"Flags: .. Not available; | Break in series; e Estimated value; f Forecast value; x Not applicable; p Provisional data; s Strike; - Nil"
"Information on data for Israel: http://oe.cd/israel-disclaimer"
"Disclaimer and Terms and Conditions: http://www.oecd.org/termsandconditions/"

"Unemployment rate, Total, % of labour force"

Location,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,"1991 Flags","1992 Flags","1993 Flags","1994 Flags","1995 Flags","1996 Flags","1997 Flags","1998 Flags","1999 Flags","2000 Flags","2001 Flags","2002 Flags","2003 Flags","2004 Flags","2005 Flags","2006 Flags","2007 Flags","2008 Flags","2009 Flags","2010 Flags","2011 Flags","2012 Flags","2013 Flags","2014 Flags"
Italy,,,,,,,,11.8406,11.4285,10.5883,9.5244,9.0071,8.6722,7.9987,7.7288,6.7758,6.0753,6.7234,7.7477,8.3592,8.3538,10.6513,12.1452,12.6798,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,,
Japan,2.1000,2.1500,2.5000,2.8917,3.1500,3.3500,3.4000,4.1083,4.6833,4.7167,5.0333,5.3750,5.2583,4.7167,4.4250,4.1417,3.8417,3.9917,5.0667,5.0500,4.5833,4.3500,4.0250,3.5917,,,,,,,,,,,,,,,,,,,,,|,,,
Korea,2.4500,2.5250,2.9000,2.4750,2.0667,2.0583,2.6167,6.9500,6.5833,4.4250,4.0167,3.2833,3.5667,3.6833,3.7333,3.4667,3.2500,3.1750,3.6500,3.7250,3.4083,3.2250,3.1250,3.5417,,,,,,,,,|,,,,,,,,,,,,,,,
Luxembourg,,,,,,,,,,,,,3.6560,5.1385,4.4894,4.7317,4.0661,5.0505,5.1117,4.3516,4.8969,5.1383,5.8365,5.8549,..,..,..,..,..,..,..,..,..,..,..,..,,,,|,,,,,,,,
Mexico,2.6304,2.8324,3.4295,3.7068,6.2284,5.4448,3.7272,3.1573,2.5009,2.5073,2.7662,2.9779,3.3998,3.9181,3.5626,3.5680,3.6436,3.9012,5.3517,5.3253,5.2106,4.9402,4.9448,4.8257,,,,,,,,,,|,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,2.9471,2.2514,2.7557,3.6822,4.5579,4.7245,3.9061,3.1798,2.7512,3.4130,4.4505,4.4368,5.2680,6.6934,6.8226,..,..,..,..,..,..,..,..,..,,,,,,,,,,|,,,,,
"New Zealand",10.6000,10.6500,9.8000,8.3500,6.4500,6.3000,6.8250,7.7250,7.0250,6.1500,5.4500,5.3000,4.7750,4.0250,3.8250,3.8500,3.6500,4.1500,6.1250,6.5500,6.5000,6.9250,6.2250,5.7500,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,3.3310,3.5099,3.7602,4.0438,4.1840,4.3810,3.3999,2.4956,2.5496,3.1025,3.5210,3.2144,3.1232,3.4229,3.4845,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,
Poland,,,,,,,,,,16.1061,18.2432,19.9327,19.6196,18.9784,17.7527,13.8489,9.6076,7.1210,8.1664,9.6403,9.6328,10.0888,10.3286,8.9909,..,..,..,..,..,..,..,..,..,,,,,,,,,,|,,,,,
Portugal,,,,,,,,5.0782,4.5304,4.0351,4.0099,4.9933,6.2649,6.6225,7.5807,7.6474,7.9637,7.5520,9.4329,10.7698,12.6811,15.5303,16.1838,13.8951,..,..,..,..,..,..,..,,,,,,,,,,,,,|,,,,
Russia,,,5.2917,7.0167,8.2667,9.5917,10.8083,11.8750,12.9167,10.4917,9.0333,8.0000,8.6250,8.1583,7.5583,7.1667,6.1250,6.3583,8.3750,7.4833,6.4995,5.4620,5.4853,5.1575,..,..,,,,,,,,,,,,,,,,,,,,,,
"Slovak Republic",,,,13.6552,13.1135,11.3288,11.8745,12.6039,16.3522,18.7575,19.3060,18.6713,17.5552,18.2245,16.2589,13.3726,11.1448,9.5122,12.0179,14.3810,13.6176,13.9634,14.2213,13.1843,..,..,..,,,,,,,,,,,,,,,,,|,,,,
Slovenia,,,,,,,,,7.4175,6.7319,6.1756,6.3109,6.6755,6.2943,6.5032,5.9530,4.8247,4.3750,5.8473,7.2374,8.1694,8.8388,10.1086,9.6723,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,,,
"South Africa",,,,,,,,,,23.3000,26.2000,26.6000,24.8000,23.0000,23.5000,22.1000,21.0000,22.5250,23.7000,24.8750,24.8000,24.8750,24.7250,,..,..,..,..,..,..,..,..,..,,,,,,,,|,,,,,,,..
Spain,,,,,,,,,15.7055,13.9196,10.5496,11.4491,11.4859,10.9657,9.1514,8.4547,8.2320,11.2443,17.8573,19.8598,21.3905,24.7882,26.0919,24.4428,..,..,..,..,..,..,..,..,,|,,,,,,,,,,,,,,
Sweden,,,,,,,,,,,4.8508,5.0726,5.6775,6.5256,7.4758,7.0688,6.1635,6.2343,8.3469,8.6116,7.8039,7.9754,8.0529,7.9560,..,..,..,..,..,..,..,..,..,..,,,,,,,,,,,,,,
Switzerland,,,,,,,,,,,,,,,,,,,,4.5455,4.0364,4.1845,4.3893,4.5386,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,
Turkey,,,,,,,,,,,,,,,,8.7505,8.8872,9.7285,12.5806,10.6845,8.8148,8.1666,8.7400,9.8832,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,,,,,,,|,
"United Kingdom",,,,,,,,,,5.5751,5.0136,5.1332,4.9711,4.6991,4.7619,5.3690,5.2795,5.6296,7.5367,7.7866,8.0363,7.8876,7.5349,6.1148,..,..,..,..,..,..,..,..,..,,,,,,,,,|,,,,,,
"United States",6.8167,7.5083,6.9000,6.0833,5.6083,5.4167,4.9500,4.5083,4.2167,3.9917,4.7333,5.7750,5.9917,5.5333,5.0667,4.6167,4.6167,5.7750,9.2667,9.6167,8.9500,8.0667,7.3750,6.1667,,,,,,,,,,,,,,,,,,,,,,,,
